交易所,代码,公司,行业,PE,股息率,净利润率,毛利率,PB,ROE_TTM_2020,ROE_TTM_2019,ROE_TTM_2018,ROE_TTM_2017,ROE_TTM_2016,ROE_TTM_2015,净利润2020,净利润2019,净利润2018,净利润2017,净利润2016,每股收益2020TTM,每股收益2020,关注度
sz,="002279",久其软件,计算机软件,122.9708,0,0.0136,0.3076,6.5633,0.0412,-0.4702,0.1443,0.1083,0.0836,0.0743,40776714,-908134236,308520077,230987650.95,142697713.2,0.0573,0.0735,263
sz,="002096",南岭民爆,化学制品,122.8959,0.0023,0.0083,0.2839,1.6279,0.0099,0.0097,0.0103,0.0189,0.0368,0.1077,14806725,19349563,22427061,32408002.37,72669294.88,0.0399,0.0643,28
sz,="200045",深纺织Ｂ,,122.816,0,-0.0209,0.089,0.5703,-0.0109,-0.0158,0.0219,-0.0271,-0.0028,-0.044,,-21049622.4552,65511910.0653,-80248704.0175,-7590573.5102,0.0069,0.0432,4
sh,="600624",复旦复华,化学制剂,122.4514,0.0028,0.0543,0.4812,5.5819,0.0474,0.0437,0.0418,0.0387,0.053,0.0531,53736295,47563245,42932260,40305505.24,53188702.49,0.0785,0.0811,83
sz,="300069",金利华电,电气部件与设备,122.2698,0,0.1159,0.4455,5.226,0.0567,-0.3992,0.0435,0.0418,0.0338,0.0081,15358255,-185581157,16878608,21295004.86,16646881.94,0.1313,0.1481,40
sz,="300677",英科医疗,医疗保健设备与用品,122.1787,0.001,0.1158,0.2843,17.508,0.1685,0.1576,,,,,273661790,190710983,146968133,,,1.2571,0.8992,260
sz,="002673",西部证券,证券,121.9079,0.0064,0.0884,,1.9418,0.0161,0.0348,0.0484,0.082,0.1496,0.141,,620115181,732789667,,,0.0805,0.1742,572
sh,="688088",虹软科技,计算机软件,121.3954,0.0014,0.3798,0.9215,10.928,0.1269,,,,,,,169383180,,,,0.5646,0.5181,151
sz,="002607",中公教育,专营零售,121.332,0.0067,0.1995,0.5837,366.3814,0.704,0.4978,0.0288,0.0549,0.0446,-0.0999,1814659006,1248817347,58980054,78180397.81,38058860.8,0.2942,0.2926,571
sh,="688016",心脉医疗,医疗保健设备与用品,121.1909,0.0025,0.4594,,17.5903,0.2295,,,,,,,102545503,,,,2.1752,1.9694,197
sh,="600130",波导股份,通信设备,120.3162,0,0.0631,0.0733,3.713,0.0313,0.0265,-0.1494,0.0118,0.0665,0.0795,27766842,22793787,-137166062,11535913.18,62613481.87,0.0362,0.0363,55
sz,="300474",景嘉微,电子设备及服务,119.5422,0.0016,0.3227,0.6792,9.3332,0.0783,0.0926,0.1283,0.112,,,180856627,148807622,119834006,95262894.42,,0.6003,0.5841,268
sz,="300725",药石科技,化学原料药,119.3674,0.0012,0.2156,0.4869,23.0968,0.2077,0.2536,,,,,146769792,146793423,74656245,,,1.0137,1.0503,482
sh,="603520",司太立,化学原料药,119.1913,0.0028,0.1451,0.4407,12.7547,0.186,0.1255,0.0856,0.0933,,,175161834,112343993,77215942,79001915.53,,1.0433,1.0145,172
sz,="300595",欧普康视,医疗保健设备与用品,119.1612,0.0012,0.4444,0.7837,26.2114,0.2118,0.2187,0.1998,,,,294358480,231127291,159509172,,,0.7275,0.7584,1594
sh,="688368",晶丰明源,半导体,118.8448,0.0043,0.094,,6.2233,0.1184,,,,,,,81354640,75402735,,,1.3615,1.4991,61
sz,="002730",电光科技,电气部件与设备,118.7838,0.0074,0.0497,0.3419,4.5828,0.0417,0.0716,0.0673,0.0504,0.07,,36482340,65199428,59043696,38996756.12,54720391.63,0.1131,0.1328,49
sh,="601606",长城军工,航天航空,118.6814,0.0024,0.0692,0.2528,5.5649,0.0474,,,,,,105447612,95226424,,,,0.1456,0.1387,76
sz,="300126",锐奇股份,通用机械,118.6257,0.0016,0.0408,0.227,3.8631,0.0166,-0.0359,-0.0122,0.0067,-0.0042,0.0557,16347631,-35415700,-12485476,6956786.23,-1430333.47,0.0538,0.0304,25
sz,="300135",宝利国际,建筑材料,118.4594,0.0038,0.0064,0.1356,1.949,0.0122,0.0326,0.0276,0.0227,0.0182,0.0544,20305494,42526262,32748334,29402769.18,25068611.78,0.022,0.0429,29
sz,="300643",万通智控,汽车零配件与设备,118.4449,0.0028,0.0461,0.3433,6.7383,0.0539,0.0772,0.0879,,,,24247566,32872892,27289536,,,0.1212,0.0992,40
