交易所,代码,公司,行业,PE,股息率,净利润率,毛利率,PB,ROE_TTM_2020,ROE_TTM_2019,ROE_TTM_2018,ROE_TTM_2017,ROE_TTM_2016,ROE_TTM_2015,净利润2020,净利润2019,净利润2018,净利润2017,净利润2016,每股收益2020TTM,每股收益2020,关注度
sz,="300104",乐视退,,-0.0638,0,-24.6671,0.2621,-0.0495,-1.2093,-2.2405,-2.7407,-0.0305,0.0662,0.0388,-11251390406,-3965785168,-14310078600,564811971.32,592383653.49,-2.8203,-2.8272,207
sz,="002220",天宝退,农牧渔产品,-0.108,0,-6.7685,-0.065,0.4793,-1.2932,-0.1209,0.0435,0.0703,0.074,0.0794,-1844868541,-314195706,118670005,182650762.76,158414128.2,-2.4069,-2.4857,50
sz,="002509",天茂退,,-0.1219,0,-3.346,0.203,0.3649,-1.0791,-0.1074,0.1261,0.0943,0.0472,0.1001,-2997973821,-530092299,608049622,410478754.59,134935590.58,-1.2309,-1.189,61
sz,="002604",龙力退,食品,-0.1843,0,-3.0461,0.1397,-0.0361,-0.2178,-1.589,-2.4496,0.0541,0.0259,0.0437,-813271273,-2883457411,-3535755837,138789434.56,50011096.32,-1.3564,-1.3544,49
sz,="000980",*ST众泰,汽车零配件与设备,-0.2268,0,15.1478,1.0595,0.3378,-0.9168,0.0442,0.1302,0.0422,0.0329,0.0151,-11713590307,764858696,1246006030,90063396.63,67928364.35,-5.7769,-5.5188,125
sz,="000662",*ST天夏,互联网软件与服务,-0.319,0,28.8288,0.6595,1.055,-1.4283,0.0214,0.1081,0.0824,-0.0012,0.0269,-5208267160,121868869,576613240,409408016.72,-2853599.2,-4.7647,-4.6412,138
sh,="600290",*ST华仪,电气部件与设备,-0.3789,0,-3.0429,0.2741,1.074,-1.1465,-0.0244,0.0154,-0.014,0.0144,0.0459,-2988290807,-105803414,62799133,-61986943.97,45126673.08,-3.9325,-3.8363,41
sz,="002356",*ST赫美,服装与配饰,-0.3958,0,-3.6651,0.4501,-0.3857,-1.6965,-2.1888,0.1169,0.0889,0.0829,0.0333,-1853713777,-1748042638,151490759,134511318.09,124698765.56,-3.5121,-3.5591,52
sz,="300216",千山退,专用设备,-0.4368,0,-4.8745,0.2699,-0.1283,-0.359,-4.1834,-0.4649,0.1642,0.0689,0.1448,-810973474,-2532230382,-424555851,209706424.24,62762838.67,-2.2438,-2.1717,54
sh,="600074",退市保千,,-0.4426,0,-5.633,0.2298,-0.0686,-0.1712,-0.4159,-10.3419,0.2564,0.3272,0.0526,-936276925,-1634291569,-8018731583,832109131.31,449787266.24,-0.3841,-0.3824,60
sh,="600122",*ST宏图,专营零售,-0.5154,0,-0.8646,-0.2615,0.7847,-0.642,-0.2825,0.0629,0.0573,0.0354,0.0647,-3146157292,-2270862486,599488430,496695940.39,333889405.12,-2.7163,-2.3611,70
sz,="002359",*ST北讯,通信设备,-0.5204,0,-35.0152,-10.4085,0.5894,-0.707,-0.2348,0.0923,-0.0655,0.0305,-0.0911,-2548715557,-1309206573,327202074,-60128081.3,28524660.48,-2.3443,-2.236,66
sh,="603157",*ST拉夏,服装与配饰,-0.5481,0,-0.4113,0.5594,1.4911,-1.1867,-0.0991,,,,,-2518221000,-323893000,542402000,,,-4.598,-3.9555,68
sz,="300064",豫金刚石,非金属材料与制品,-0.5681,0,-6.6685,0.2306,1.7998,-1.2191,0.0023,0.0404,0.0348,0.0669,0.0457,-5283324548,20693811,284374577,161770418.7,111249470.67,-4.3828,-4.3108,38
sh,="600687",*ST刚泰,服装与配饰,-0.5721,0,-3.6939,0.1194,1.4503,-1.1164,-0.2468,0.0938,0.073,0.1288,0.1986,-3434931204,-1365175849,549371536,397430852.52,456250674.46,-2.3073,-2.2667,58
sz,="002147",*ST新光,商业地产开发和管理,-0.5873,0,-3.3061,0.257,1.244,-0.984,-0.0272,0.189,0.3761,-0.015,-0.0066,-5260202122,-218253942,1266599574,1565653334.6,-5875751.84,-2.8775,-2.7814,67
sz,="002535",*ST林重,专用设备,-0.6424,0,-2.0085,0.034,1.7201,-1.1131,-0.0619,0.0203,0.0051,-0.1251,0.0118,-2009155452,-178911191,59411456,15410251.98,-323336632.98,-2.5062,-2.4839,48
sh,="600069",退市银鸽,纸类与林业产品,-0.6912,0,-0.3977,0.029,0.346,-0.4373,-0.0801,0.0271,-0.1975,0.0168,-0.6051,-657835660,-141095139,89590730,-384727347.6,55061536.12,-0.4051,-0.3932,47
sh,="600856",*ST中天,石油天然气,-0.7336,0,-4.9112,-0.1002,5.4509,-1.5432,-0.215,0.1409,0.2013,0.1817,0.0565,-3204281798,-1030241264,520658577,525055288.08,300960512.69,-2.3446,-2.2914,104
sh,="600242",*ST中昌,互联网软件与服务,-0.8014,0,-0.9393,0.068,2.1312,-1.1129,0.0679,0.0631,0.0448,1.0939,-2.7083,-1596969671,116111217,106957865,64861393.64,17031169.63,-3.5062,-3.4347,65
sz,="002280",*ST联络,计算机软件,-0.8819,0,-0.3231,0.174,1.4479,-0.8156,-0.1518,0.0136,0.0495,0.1084,0.3741,-3382317255,-741569325,98021552,327434262.6,353479161.42,-1.5649,-1.4861,117
sz,="002656",ST摩登,服装与配饰,-0.8914,0,-1.3793,0.4419,1.7412,-0.9842,0.0043,0.0271,-0.1361,-0.0304,-0.008,-1546521634,28005294,74827519,-179042977.8,-14847458.7,-2.1651,-2.0608,33
sz,="000701",厦门信达,工业贸易经销商,-0.9417,0,-0.0338,0.0152,14.8102,-0.6478,0.0015,0.0121,0.0272,0.0287,0.0899,-2492634534,-6785283,58790786,151647117.35,100504800.64,-6.1302,-6.1314,73
sh,="603555",*ST贵人,服装与配饰,-0.9585,0,-1.0006,0.375,4.0865,-1.2831,-0.3596,0.0653,0.1196,0.1412,0.1363,-1232941294,-757165024,159145696,293887283.55,337385232.81,-1.9614,-1.6196,52
sz,="002113",*ST天润,计算机软件,-1.0126,0,-3.4539,0.4044,12.4783,-1.7201,-0.1488,0.0136,0.1121,-0.039,-0.0008,-2148073931,-373420939,24773748,58572211.22,-3634117.02,-1.4015,-1.402,50
sz,="000981",*ST银亿,汽车零配件与设备,-1.0441,0,-1.3714,0.0742,1.2437,-0.7086,-0.0512,0.1444,0.1011,0.0754,0.1198,-7599803196,-976456787,1982632825,516014411.07,492055485.91,-1.8867,-1.781,91
sh,="600086",*ST金钰,服装与配饰,-1.0548,0,-41.6027,-1.0111,3.7606,-1.4606,-0.7468,0.0717,0.0891,0.0881,0.1262,-1881314211,-2015503826,234264551,269066223.11,245672186.62,-1.3936,-1.3536,67
sz,="002247",*ST聚力,互联网软件与服务,-1.0792,0,-1.0421,0.0639,4.2376,-1.373,-0.8427,0.1286,0.1542,0.0841,0.1037,-1641090886,-3028176246,635809221,442962370.52,88443904.37,-1.9274,-1.8608,61
sh,="600112",ST天成,电气部件与设备,-1.089,0,-3.7342,0.0362,2.8813,-1.1613,0.056,-0.0227,-0.0646,-0.1458,-0.0117,-902417977,68198038,-27771354,-77144712.26,-177656658.92,-1.7722,-1.6614,39
sz,="000760",*ST斯太,汽车零配件与设备,-1.115,0,-10.7681,0.2702,2.2221,-0.1674,-1.1209,-0.0816,0.0199,-0.131,0.0058,-79272432,-1293126670,-155741072,36516877.14,-204230379.3,-0.2326,-0.2354,53
sz,="000669",*ST金鸿,燃气公用事业,-1.1202,0,-0.4546,0.0989,1.3062,-0.6998,-0.5205,0.0623,0.0508,0.0686,0.1065,-1305888796,-1747730589,241095357,191154404.18,256779762.33,-1.9193,-1.9306,57
sz,="002219",*ST恒康,医疗保健提供商与服务,-1.1579,0,-0.7767,0.2282,18.2207,-1.695,-0.3913,0.0509,0.0971,0.1353,0.2334,-2577451826,-1442276054,182206024,402790748.91,343112102.71,-1.3818,-1.3508,72
sz,="002290",ST中科创,化学制品,-1.1899,0,-0.7316,0.1328,3.08,-1.4535,0.0383,0.0082,0.0322,0.0296,-0.133,-1193271290,47424753,9995104,33201192.76,25074541.05,-4.9164,-4.9365,46
sh,="601777",力帆股份,汽车,-1.2005,0,-0.8306,-0.071,2.3081,-0.9513,0.0116,0.0224,0.0057,0.0471,0.0578,-4782257927,94074170,175887862,27681300.9,347275546.69,-3.6401,-3.5639,85
sz,="300108",吉药控股,中药,-1.2044,0,-2.0368,0.2769,6.5943,-1.3963,0.0997,0.1087,0.1088,0.0832,0.0884,-1841411756,210007897,204799620,188666657.78,132173565.46,-2.7648,-2.6603,57
sh,="600175",退市美都,工业贸易经销商,-1.2772,0,-0.2589,0.1132,0.0817,-0.0775,-0.1319,0.0122,0.0351,-0.0125,0.0764,-588067879,-1220814413,72170196,277447609.73,-79198715.89,-0.1644,-0.2324,53
sh,="600614",*ST鹏起,有色金属,-1.307,0,-0.6199,-0.0335,3.5581,-1.1381,-1.2191,0.0816,0.0223,0.0093,0.0494,-992378257,-3904125720,379071565,122800689.34,49607471.56,-0.5662,-0.5262,53
sz,="300178",腾邦国际,其他消费者服务,-1.3725,0,-0.8218,-0.0672,1.7478,-0.8288,0.0407,0.1446,0.1251,0.1184,0.116,-1666502099,128282555,294965484,185331737.39,153187205.54,-2.7031,-2.5563,128
sz,="002086",*ST东洋,农牧渔产品,-1.4072,0,-1.8063,0.0717,0.7501,-0.428,-0.2748,0.0417,0.0256,0.0238,0.0308,-983588873,-790775021,124391355,77267750.76,50391702.57,-1.3004,-1.3499,46
sz,="300367",东方网力,电子设备及服务,-1.4088,0,-86.5081,-2.6352,7.6328,-1.4323,0.0857,0.1111,0.1362,0.1829,0.205,-3412072023,337132985,395888998,354258731.9,255610810.16,-2.8534,-2.6705,178
sh,="600423",ST柳化,农用化工,-1.4301,0,-9.8426,0.1692,6.2312,-1.4488,0.244,0.8504,-1.9122,-0.5478,-0.0037,-1758915171,274229619,28956142,-687151109.04,-539014294.17,-2.2022,-2.3376,33
sz,="002586",*ST围海,建筑与工程,-1.4755,0,-0.4938,0.1217,0.5875,-0.3132,0.0517,0.0607,0.0298,0.0362,0.065,-1473449642,244823374,252083674,87918250.5,59805211.6,-1.2877,-1.2425,45
sz,="002122",*ST天马,通用机械,-1.5163,0,-1.5962,0.1629,1.496,-0.6152,-0.1808,0.0189,-0.0521,0.0089,0.0095,-1527791084,-739130305,87594085,-247460911.33,38410492.92,-1.286,-1.3923,43
sz,="300269",联建光电,传媒,-1.5165,0,-0.5671,0.223,4.5302,-1.1879,-0.8595,0.0093,0.1014,0.0978,0.1019,-1427882306,-2936039429,46194318,419343647.4,253042337.42,-2.4136,-2.3346,99
sz,="002370",亚太药业,化学制剂,-1.5171,0,-4.3736,0.3668,8.0807,-1.3487,0.0797,0.095,0.098,0.0843,0.0552,-2150254828,199085429,220880267,147853544.91,65119526.12,-4.0078,-3.8558,137
sz,="000806",*ST银河,重型电气设备,-1.5696,0,-1.438,0.2738,8.1988,-1.4564,-0.4132,0.0047,0.0058,0.0302,0.0545,-1149240459,-697896515,2924618,12293784.14,59264227.55,-1.0448,-1.0485,108
sz,="200160",东沣B退,,-1.5975,0,-2.6123,0.2041,0.4611,-0.2722,-0.0244,0.0124,-0.008,0.1799,0.1316,,-9671613.9421,5784398.068,3549532.193,79713310.5547,-0.1127,-0.1149,3
sh,="600225",*ST松江,住宅地产开发和管理,-1.6808,0,-0.9934,0.4306,29.7465,-1.1487,-0.1865,-0.2338,0.1671,-0.4294,-0.0344,-1051906362,-325574139,-383647441,328454297.82,-830444560.6,-1.1244,-0.9752,84
sz,="002255",*ST海陆,通用机械,-1.7253,0,-1.1383,0.1291,1.6783,-0.7234,-0.0305,0.0389,0.0376,0.0516,0.0393,-1874615120,-125912505,107137508,82064416.62,87056081.16,-2.2257,-2.1899,47
sz,="002445",*ST中南,传媒,-1.8022,0,-3.7129,0.1079,31.3405,-1.6074,-0.6694,0.0743,0.0776,0.0661,0.0454,-1819377658,-2198647030,301903741,246303614.54,136912704.74,-1.3095,-1.2944,71
sz,="002619",艾格拉斯,互联网软件与服务,-1.8328,0,-5.6495,0.588,1.3876,-0.5184,0.1043,0.1024,0.0718,0.056,0.0084,-2597010671,651082642,481606602,240717653.26,176480074.14,-1.4077,-1.385,83
sz,="002176",*ST江特,电气部件与设备,-1.8404,0,-0.9086,-0.0806,2.4764,-0.7873,-0.4559,0.1055,0.046,0.0154,0.0333,-2072619711,-1830053403,433837677,205934930.32,58114111,-1.2147,-1.1864,129
sz,="000150",宜华健康,医疗保健提供商与服务,-1.9116,0,-1.0013,0.1276,4.3269,-0.9691,0.0582,0.0999,-0.069,0.4687,0.0311,-1680450785,129808605,227666197,-170699306.61,1010343771.6,-1.9146,-1.7913,111
sz,="000727",*ST东科,电子元器件,-1.9335,0,-1.9679,-0.3113,3.0461,-0.8813,-0.1008,0.0042,-0.0167,-0.0001,0.0012,-5809813802,-1037803838,21562941,-203136110.55,-4705258.51,-1.2826,-1.2453,124
sh,="600816",*ST安信,投资信托,-2.0686,0,989.3618,,1.4761,-0.4691,-0.1815,0.2608,0.348,0.5114,0.6261,-4970387464,-2576664632,3704052306,3445899699.46,2124483707.38,-0.9088,-0.7301,5612
sz,="000536",*ST华映,电子元器件,-2.1851,0,-1.791,-0.5215,1.2801,-0.4485,-0.5335,0.0001,0.0468,0.0573,0.0739,-2620372039,-5195828188,7427280,390220871.61,182257404.58,-0.9473,-0.9353,97
sz,="300343",联创股份,传媒,-2.1966,0,-0.4992,0.0918,4.1079,-0.9448,-0.5576,0.0966,0.0727,0.0347,0.0174,-1540736288,-1945494840,376862850,211330363.79,43672245.06,-1.3111,-1.2537,61
sz,="002121",*ST科陆,电气部件与设备,-2.2027,0,-0.7839,0.2942,4.0123,-1.071,-0.3168,0.093,0.0868,0.1041,0.0897,-2251818735,-1361041979,441917037,309470555.58,197704869.99,-1.5989,-1.687,166
sz,="000766",通化金马,中药,-2.2458,0,-1.2437,0.8241,1.9613,-0.5764,0.0694,0.0589,0.0539,0.0152,0.0033,-2137241965,323326976,256699518,222300974.57,39773399.64,-2.2113,-2.1127,97
sz,="002464",众应互联,互联网软件与服务,-2.269,0,-3.7889,0.4315,30.2825,-1.8003,0.0536,0.153,0.2044,0.052,-0.1649,-1426678818,78692000,202960162,225881258.96,45165857.83,-2.7342,-2.5842,74
sz,="300309",吉艾科技,能源设备与服务,-2.2818,0,-1.4352,-0.0557,5.6127,-1.0501,0.1123,0.1341,-0.2747,0.0531,0.0708,-1374750794,210582044,250160043,-408316090.04,56786222.76,-1.5514,-1.3439,83
sh,="600804",鹏博士,电信增值服务,-2.3109,0,-0.9932,0.4327,17.297,-1.4647,0.0467,0.0986,0.1211,0.1341,0.11,-5721037217,341201818,687946511,753202518.26,731858994.73,-3.994,-4.0148,309
sz,="002259",*ST升达,燃气公用事业,-2.3111,0,-1.2897,0.0988,13.6455,-1.1571,-0.1042,0.0498,0.0623,0.0189,0.0107,-1266295619,-179088172,11621675,73958732.53,11343650.47,-1.6832,-1.6577,30
sz,="300742",越博动力,汽车零配件与设备,-2.3181,0,-1.9161,0.085,5.3004,-1.0849,0.0169,,,,,-819484459,15142665,92278380,,,-10.4395,-10.709,45
sz,="000816",ST慧业,通用机械,-2.3319,0,-0.7937,-0.012,1.0294,-0.366,0.0197,-0.1026,-0.0452,-0.0012,0.0124,-959056240,100323953,-327474426,-142832625.27,19021927.88,-0.676,-0.6768,35
sh,="600121",郑州煤电,煤炭,-2.3508,0,-0.3056,0.2252,0.9641,-0.24,0.0713,0.1527,-0.0323,-0.1599,0.032,-1078076580,117465862,441464276,-281326776.41,-689941280.52,-0.8848,-0.7566,52
sz,="300278",华昌达,专用设备,-2.3809,0,-0.9741,0.0884,15.4497,-1.6108,-0.0178,0.0233,0.0749,0.0642,0.0895,-1551671356,-29649640,35380746,118258754.25,94485322.92,-2.5998,-2.573,68
sh,="600255",*ST梦舟,有色金属,-2.3844,0,-0.3419,0.0056,2.1341,-0.6916,-0.4183,0.05,0.0766,0.0088,0.0044,-1136213673,-1302732887,136820231,245464070.76,17378370.05,-0.6421,-0.64,45
sh,="600189",吉林森工,纸类与林业产品,-2.4525,0,-1.0299,0.4431,2.5075,-0.5565,0.0152,0.0677,-0.1146,0.1172,-0.0064,-1562708575,44763373,104822422,-156679206.3,184324239.23,-2.2118,-2.0711,45
sh,="601113",ST华鼎,合成纤维,-2.5561,0,-0.1569,0.3011,0.7936,-0.2532,0.076,0.0329,0.0501,0.046,-0.0537,-1388826814,327372752,83423350,132053523.09,99682153.57,-1.2167,-1.1577,44
sz,="002513",*ST蓝丰,农用化工,-2.6032,0,-0.3954,0.2083,1.267,-0.3905,-0.4203,0.0164,0.0386,-0.0178,-0.0385,-544780532,-889043768,41762236,95949889.59,-31890524.45,-1.6019,-1.5189,26
sz,="000802",北京文化,传媒,-2.6246,0,-2.8079,0.0806,2.4415,-0.6121,0.0568,0.0713,0.2021,-0.0042,0.0819,-2297940690,285935526,318076448,552433197.87,-1956828.67,-3.2233,-3.2209,145
sz,="300157",恒泰艾普,能源设备与服务,-2.6627,0,-1.4317,0.2332,1.203,-0.3414,0.0134,-0.1083,0.0336,0.0507,0.0402,,29287595,-434073995,90157103.16,76181253.15,-1.6299,-1.5633,47
sh,="600239",云南城投,住宅地产开发和管理,-2.6994,0,-0.4765,0.344,3.2524,-0.475,0.0106,0.0617,0.0543,0.0213,0.0681,-2522086040,165960309,328991899,272339339.78,189120641.3,-1.5707,-1.7302,91
sh,="600986",科达股份,互联网软件与服务,-2.7225,0,-0.1445,0.0557,1.919,-0.5051,0.0351,0.0888,0.1227,0.053,0.0821,-2514682816,197621895,453210733,501130261.49,126587565.06,-1.8976,-1.8934,172
sz,="002173",创新医疗,医疗保健提供商与服务,-2.7962,0,-1.5518,-0.0211,1.3464,-0.4011,0.0057,0.0441,0.0314,-0.0151,-0.0504,-1220439301,20511644,159786354,109806065.61,-29547055.15,-2.6831,-2.5283,69
sz,="000711",京蓝科技,商业用品与服务,-2.815,0,-0.5629,0.2125,0.8722,-0.202,0.0264,0.0693,-0.0059,0.0053,-0.2413,-1020926090,117105946,240331256,-13361899.53,46325242.21,-0.9973,-1.0128,66
sh,="600518",ST康美,中药,-2.8336,0.0081,-0.6703,0.0479,0.7912,-0.2063,-0.0025,0.1393,0.1365,0.1566,0.1666,-5178182577,-67018576,4456248793,3419127214.46,2927695655.01,-1.0411,-0.937,1437
sz,="300100",双林股份,汽车零配件与设备,-2.8731,0,-0.2468,0.2128,1.5616,-0.4291,-0.0482,0.0625,0.1475,0.1283,0.1059,-948685762,-76756472,138313829,338053764.86,266581474.94,-2.0779,-2.0745,71
sh,="600243",*ST海华,通用机械,-2.9053,0,-0.6846,0.0647,1.1264,-0.3426,-0.1474,-0.0346,0.009,0.0205,-0.0107,-419920414,-214483551,-62234525,9356006.27,6720910.69,-0.9569,-0.9529,34
sz,="002426",*ST胜利,家用电器,-2.956,0,-0.2353,0.0896,1.4461,-0.4629,-0.1236,0.0521,0.0578,0.0997,0.0698,-2504679802,-1126700562,473223235,378834058.08,412778624,-0.8386,-0.892,172
sh,="600227",圣济堂,农用化工,-2.9648,0,-0.9038,0.2694,1.5593,-0.427,0.0255,0.0294,-0.0883,0.0254,-0.186,-1704548733,122851296,136825715,-339777305.18,48403119.94,-1.0067,-1.0098,59
sz,="200468",宁通信B,,-2.9822,0,-0.1532,0.215,3.5257,-0.4258,-0.0209,0.0932,0.0058,-0.0137,-0.0164,,-28376775.9352,26137796.2023,-11497217.9075,-21407540.8582,-0.8349,-0.8797,1
sz,="300317",珈伟新能,光电子器件,-3.0005,0,-1.4808,0.3363,1.6736,-0.4348,-0.5155,0.0499,0.1032,0.1185,-0.0049,-1057668777,-2044884039,242571185,365742808.06,178801657.04,-1.2595,-1.2802,86
sh,="600280",*ST中商,百货商店,-3.0024,0,-0.092,0.1981,2.4611,-0.5605,-0.2271,0.1268,0.0703,0.0372,0.2535,-646378267,-375455112,232234609,122691652.81,61443077.03,-0.5629,-0.5123,58
sz,="300222",科大智能,电气部件与设备,-3.0316,0,-1.365,0.1545,4.2484,-0.8196,0.0884,0.0891,0.1137,0.1237,0.0895,-2688865772,369032600,341153483,290117913.42,159966521.73,-3.7101,-3.6466,164
sz,="000752",*ST西发,饮料,-3.0441,0,-1.0414,0.2715,80.815,-0.6802,-0.4791,0.0353,0.0316,0.0412,0.0608,-334458286,-437183501,9230009,7941430.64,13555322.63,-1.268,-1.2641,50
sz,="002491",通鼎互联,通信设备,-3.0766,0,-0.6212,0.1592,2.3806,-0.5353,0.0885,0.1504,0.1599,0.1408,0.0923,-2198864453,434054929,661035268,540201599.08,316988767.75,-1.743,-1.6829,177
sz,="002354",*ST天娱,计算机软件,-3.0993,0,-1.039,0.4352,5.2835,-0.758,-1.2156,0.1569,0.1306,0.1401,0.5087,-1224096605,-7372999425,961521658,674548457.41,396916340.56,-1.3132,-1.2849,211
sh,="600576",祥源文化,传媒,-3.1212,0,-2.685,0.3274,2.7628,-0.6274,0.0078,0.0487,0.0636,0.0327,-0.0462,-872796315,15721728,89417814,122599862.07,43528140.95,-1.4091,-1.3777,56
sz,="300247",融捷健康,休闲设备与用品,-3.1659,0,-1.0798,0.1513,2.6166,-0.5804,-0.4118,0.0305,0.0485,0.0392,0.0311,-711103138,-827645012,76682719,93830868.56,42298936.88,-0.8844,-0.8906,66
sz,="300028",金亚退,,-3.1854,0,-1.9738,-0.1813,0.9449,-0.2583,-0.1791,-0.708,-0.0999,0.0141,0.0169,-32395761,-27863877,-179925051,-33889773.99,6829456.02,-0.0942,-0.114,30
sz,="300334",津膜科技,商业用品与服务,-3.1902,0,-1.905,-0.1923,3.6655,-0.7018,-0.0016,-0.0433,0.0376,0.0441,0.0956,-856900763,-7810214,-70225952,47524018.65,48221475.7,-2.8368,-2.758,48
sh,="600892",*ST大晟,计算机软件,-3.2072,0,-2.5338,0.7894,5.8227,-0.9115,-0.7943,0.1628,0.0863,0.0236,0.0762,-531294505,-1145483455,299411400,141072993.07,18721354.57,-0.9496,-1.0146,53
sz,="002502",*ST鼎龙,传媒,-3.2126,0,-0.6655,-0.039,1.9242,-0.4198,-0.4649,0.085,0.1224,0.0599,0.029,-792223407,-1306736498,281176238,362678961.58,143538814.37,-0.9214,-0.976,88
sz,="002447",*ST晨鑫,互联网软件与服务,-3.2325,0,-30.1811,-0.0179,5.729,-0.9275,-0.3703,0.1655,0.134,0.1081,0.1157,-1010123513,-695810645,332581330,303278171.49,243013048.1,-0.7078,-0.7002,66
sh,="600978",*ST宜生,耐用家居用品,-3.2378,0,-0.1262,0.2942,0.2439,-0.0715,0.0379,0.0988,0.1009,0.0925,0.0825,-567899026,316433835,777044168,737602204.42,627924477.29,-0.383,-0.125,169
sz,="000606",顺利办,互联网软件与服务,-3.2498,0,-0.3923,0.1289,2.093,-0.4658,0.0478,0.0543,0.0162,-0.1858,-0.1521,-1076888917,123023032,133542180,31850340.71,-153152605.98,-1.4062,-1.327,63
sz,="300467",迅游科技,互联网软件与服务,-3.2551,0,-2.5657,0.7592,3.7195,-0.6958,-0.2888,0.0793,0.0331,0.1979,,-1237316064,-769735826,138635967,37214157.66,60110033.01,-5.5399,-5.3111,146
sz,="002529",*ST海源,通用机械,-3.2992,0,-2.7058,-0.082,1.9312,-0.4432,-0.1398,0.0148,-0.0162,0.0048,0.0009,-498855383,-209222040,23415719,-20690221.08,4784617.8,-1.9187,-2.0596,35
sz,="200054",建车B,,-3.4247,0,-0.1746,0.1016,3.042,-0.6094,-0.0186,0.0188,0.0672,1.9992,-1.9575,,-6427043.0186,6242674.1048,19487454.6524,313780592.2906,-1.203,-1.1349,5
sz,="300410",正业科技,电子设备及服务,-3.4337,0,-0.8459,0.2672,3.1478,-0.6078,0.0042,0.1075,0.0785,0.0852,,-921305044,5632229,205930094,92444261.38,39666753.01,-2.4163,-2.4248,170
sz,="002537",海联金汇,汽车零配件与设备,-3.4633,0,-0.5265,0.101,2.3919,-0.4944,0.025,0.0645,0.0733,0.0291,0.0652,-2616259913,167085054,414875955,293371408.01,48235717.17,-2.1039,-1.9749,86
sz,="002592",ST八菱,汽车零配件与设备,-3.4633,0,-0.6011,0.1778,0.9754,-0.2283,-0.0031,0.048,0.0663,0.0706,0.1039,-407417590,-6083214,102183859,137631083.57,120407523.2,-1.438,-1.4347,30
sh,="601599",鹿港文化,纺织品,-3.5258,0,-0.3682,0.1784,2.4289,-0.4893,0.0238,0.1186,0.0801,0.0601,0.0529,-1038125414,44255869,304901352,180219599.89,120616929.86,-1.1629,-1.0818,36
sz,="002418",*ST康盛,通用机械,-3.6164,0,-0.2794,0.1097,3.217,-0.6335,-0.7491,0.1042,0.1001,0.056,-0.0137,-518488121,-1293582298,187398517,184643731.78,111300395.22,-0.4563,-0.4772,45
sz,="300510",金冠股份,电气部件与设备,-3.6724,0,-1.315,0.2707,1.5302,-0.3373,0.0467,0.0697,0.1265,,,-1218874243,178155541,137922929,55347086.77,,-1.3806,-1.3648,73
sh,="900945",海控Ｂ股,,-3.6733,0,-0.1173,-0.0247,0.5572,-0.1137,-0.0523,0.0565,0.0497,0.0997,0.1161,,-565552757.6,602365335.2,349951318.7,537074240.6,-0.0583,0.0046,7
sh,="600561",江西长运,陆运,-3.7021,0,-0.1969,-0.0138,1.1949,-0.2721,0.0275,0.0457,-0.051,0.0499,0.1105,-401112292,23628487,30220253,-117300189.07,54519030.62,-1.692,-1.0114,29
sz,="300338",开元股份,其他消费者服务,-3.706,0,-0.616,0.72,2.2046,-0.4352,0.0507,0.0805,0.0111,0.0033,0.0629,-779020245,104007335,164207004,16123849.09,4273707.4,-2.2693,-1.8497,86
sh,="600241",*ST时万,工业贸易经销商,-3.7448,0,-0.9354,0.1883,1.0706,-0.3889,-0.1402,0.0114,-0.0914,0.0292,-0.1943,-278209099,-167300171,12592455,-73846094.84,32574463.02,-0.9453,-0.9449,29
sz,="000679",*ST友谊,百货商店,-3.9281,0,-0.539,0.156,2.4151,-0.4518,-0.4114,-0.0013,0.0031,-0.1659,0.1056,-332983060,-483133099,8231445,127222445.07,-294145790.07,-0.9343,-0.9153,46
sh,="603603",博天环境,商业用品与服务,-3.9992,0,-0.3421,0.0633,3.8231,-0.4106,0.0767,0.0864,0.0978,,,-784544979,168275494,215520694,167493924.63,,-1.8779,-1.7249,67
sz,="002437",誉衡药业,化学原料药,-4.0833,0,-0.4752,0.7271,3.9075,-0.6186,0.0262,0.0667,0.1751,0.2106,0.1751,-2088661862,113224042,286739843,672826845.37,704461205.32,-0.9502,-1.2109,127
sz,="002663",普邦股份,建筑与工程,-4.0852,0,-0.3808,0.0857,1.0914,-0.23,0.0093,0.0342,0.0273,0.0457,0.1342,-1090216888,42046105,154640260,103094288.07,180751174.92,-0.6071,-0.5824,61
sz,="002662",京威股份,汽车零配件与设备,-4.1024,0,-0.5935,0.1931,2.3571,-0.4895,0.0038,0.0431,0.1411,0.0962,0.1291,-1982716763,19843850,215257070,648683554.02,413405529.11,-1.3218,-1.3885,67
sh,="600146",*ST环球,服装与配饰,-4.1095,0,-0.3073,0.314,1.2144,-0.2371,-0.9302,0.0729,0.0278,-0.4575,0.0417,-242749482,-1920579579,213753223,38118627.2,-60589616.49,-0.5183,-0.6359,45
sh,="600221",海航控股,航空运输,-4.1214,0,-0.1173,-0.0247,0.6993,-0.1137,-0.0523,0.0565,0.0497,0.0997,0.1161,-6891413000,-3789062000,3825467000,2532338000,3522732000,-0.4101,0.0323,328
sz,="000971",*ST高升,互联网软件与服务,-4.1238,0,-0.8723,0.2762,2.6456,-0.4556,-0.762,0.037,0.0442,0.0526,0.0522,-701181113,-2295393788,133819581,115974554.09,45558544.08,-0.6644,-0.5949,57
sz,="300444",双杰电气,电气部件与设备,-4.143,0,-0.6294,0.2294,3.2682,-0.8102,0.0383,0.1868,0.0858,,,-654577942,92993158,237546193,70350745.46,,-1.1176,-1.0741,56
